Match ID;Region;Team;Pick;pick rival;pick Decider;Orden pick;Gano mapa Propio;gano mapa Rival;gano Decider;pick propio Pistol atk;Pick propio Pistol def;pick propio Atk propio;pick propio Defensa propia;pick propio Atk rival;pick propio Def rival;pick rival Pistol Atk;pick rival Pisto Def;pick rival Atk propio;pick rival Defensa propia; pick rival Atk rival;pick rival  Def rival;pick decider Pistol Atk;pick decider Pisto Def;pick decider Atk propio;pick decider Defensa propia;pick decider Atk rival;pick decider Def rival;Torneo;Stats equipo;;;;;;;;;;;
M-19;EMEA;Fut;Pearl;Lotus;Split;2do;1;1;No jugado;1;0;8;5;7;4;1;1;3;10;2;1;;;0;0;0;0;LOCK//IN;5.39;;;;;;;;;;;
M-20;Americas;100 Thieves;Icebox;Lotus;Pearl;1ro;1;0;1;1;0;5;8;4;6;0;1;7;2;8;5;0;1;6;8;5;7;LOCK//IN;5.55;;;;;;;;;;;
M-20;China;Eduard;Lotus;Icebox;Pearl;2do;1;0;0;0;1;8;5;7;2;1;0;4;6;5;8;0;1;5;7;6;8;LOCK//IN;5.2;;;;;;;;;;;
M-21;EMEA;Fnatic;Haven;Split;Lotus;1ro;1;1;No jugado;0;1;4;9;3;3;1;1;7;6;6;1;;;;;;;LOCK//IN;5.78;;;;;;;;;;;
M-21;Americas;Sentinels;Split;Haven;Lotus;2do;0;0;No jugado;0;0;6;1;7;6;0;1;3;3;4;9;;;0;0;0;0;LOCK//IN;5.88;;;;;;;;;;;
M-22;Pacific;T1;Pearl;Icebox;Fracture;1ro;0;0;No jugado;0;1;1;6;6;7;0;0;5;0;6;7;;;;;;;LOCK//IN;5.29;;;;;;;;;;;
M-22;Americas;FURIA;Icebox;Pearl;Fracture;2do;1;1;No jugado;1;1;6;7;5;0;0;1;6;7;1;6;;;0;0;0;0;LOCK//IN;5.42;;;;;;;;;;;
M-23;Pacific;Team Secret;Icebox;Pearl;Fracture;1ro;0;0;No jugado;1;1;6;2;7;6;1;1;3;1;4;9;;;;;;;LOCK//IN;5.37;;;;;;;;;;;
M-23;EMEA;Navi;Pearl;Icebox;Fracture;2do;1;1;No jugado;0;0;1;9;3;1;0;0;7;6;6;2;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-24;Americas;Leviatan;Haven;Pearl;Ascent;1ro;1;1;No jugado;1;1;9;7;8;6;1;1;3;10;2;1;;;;;;;LOCK//IN;5.47;;;;;;;;;;;
M-24;EMEA;Vitality;Pearl;Haven;Ascent;2do;0;0;No jugado;0;0;2;1;3;10;0;0;8;6;9;7;;;0;0;0;0;LOCK//IN;5.43;;;;;;;;;;;
M-25;EMEA;Fut;Lotus;Haven;Icebox;1ro;1;0;0;1;0;8;5;7;2;0;0;5;6;7;6;0;1;4;4;8;5;LOCK//IN;5.39;;;;;;;;;;;
M-25;Americas;100 Thieves;Haven;Lotus;Icebox;2do;1;0;1;1;1;7;6;5;6;1;0;7;2;8;5;0;1;8;5;4;4;LOCK//IN;5.55;;;;;;;;;;;
M-26;EMEA;Fnatic;Haven;Ascent;Icebox;1ro;1;1;No jugado;0;0;11;7;10;6;0;0;5;8;4;5;;;;;;;LOCK//IN;5.78;;;;;;;;;;;
M-26;Americas;FURIA;Ascent;Haven;Icebox;2do;0;0;No jugado;1;1;4;5;5;8;1;1;10;6;11;7;;;0;0;0;0;LOCK//IN;5.42;;;;;;;;;;;
M-27;Americas;Leviatan;Ascent;Fracture;Pearl;1ro;0;0;No jugado;0;0;6;4;6;7;1;0;1;1;11;2;;;;;;;LOCK//IN;5.47;;;;;;;;;;;
M-27;EMEA;Navi;Fracture;Ascent;Pearl;2do;1;1;No jugado;1;0;11;2;1;1;1;1;6;7;6;4;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-28;Americas;100 Thieves;Fracture;Icebox;Lotus;1ro;0;0;No jugado;0;0;0;1;11;2;0;1;2;8;10;3;;;;;;;LOCK//IN;5.55;;;;;;;;;;;
M-28;EMEA;Fnatic;Icebox;Fracture;Lotus;2do;1;1;No jugado;0;1;10;3;2;8;1;1;11;2;0;1;;;0;0;0;0;LOCK//IN;5.78;;;;;;;;;;;
M-29;Americas;LOUD;Pearl;Icebox;;1ro;1;1;No jugado;1;1;4;9;3;2;1;1;9;4;5;3;;;;;;;LOCK//IN;5.61;;;;;;;;;;;
M-29;Pacific;DRX;Icebox;Pearl;;2do;0;0;No jugado;0;0;5;3;9;4;0;0;3;2;4;9;;;0;0;0;0;LOCK//IN;5.42;;;;;;;;;;;
M-30;Americas;LOUD;Split;Fracture;Ascent;3ro;0;0;1;0;1;3;4;4;9;0;0;6;1;7;6;0;1;7;6;5;3;LOCK//IN;5.61;;;;;;;;;;;
M-30;Pacific;DRX;Fracture;Split;Ascent;4to;1;1;0;1;1;7;6;6;1;0;1;4;9;3;4;0;1;5;3;7;6;LOCK//IN;5.42;;;;;;;;;;;
M-31;EMEA;Fnatic;Haven;Lotus;;1ro;1;1;No jugado;1;0;6;7;5;6;1;0;10;3;2;2;;;;;;;LOCK//IN;5.78;;;;;;;;;;;
M-31;EMEA;Navi;Lotus;Haven;;2do;0;0;No jugado;1;0;2;2;10;3;1;0;5;6;6;7;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-32;EMEA;Fnatic;Fracture;Split;Ascent;3ro;1;0;No jugado;0;1;6;7;5;6;;;;;;;;;;;;;LOCK//IN;5.78;;;;;;;;;;;
M-32;EMEA;Navi;Split;Fracture;Ascent;4to;0;0;No jugado;;;0;0;0;0;0;1;5;6;6;7;;;0;0;0;0;LOCK//IN;5.49;;;;;;;;;;;
M-33;Americas;LOUD;Ascent;Fracture;;1ro;0;0;No jugado;0;1;4;4;5;8;0;0;1;6;6;7;;;;;;;LOCK//IN;5.61;;;;;;;;;;;
M-33;EMEA;Fnatic;Fracture;Ascent;;2do;1;1;No jugado;1;1;6;7;1;6;0;1;5;8;4;4;;;0;0;0;0;LOCK//IN;5.78;;;;;;;;;;;
M-34;Americas;LOUD;Split;Lotus;Icebox;3ro;1;1;0;0;1;7;6;4;5;1;1;7;6;3;5;1;1;9;3;10;4;LOCK//IN;5.61;;;;;;;;;;;
M-34;EMEA;Fnatic;Lotus;Split;Icebox;4to;0;0;1;0;0;3;5;7;6;0;1;4;5;7;6;0;0;10;4;9;3;LOCK//IN;5.78;;;;;;;;;;;
M-35;Americas;Sentinels;Fracture;Split;Ascent;1ro;1;0;1;0;0;6;7;5;6;0;0;5;7;6;8;1;1;9;5;8;4;Americas;5.88;;;;;;;;;;;
M-35;Americas;100 Thieves;Split;Fracture;Ascent;2do;1;0;0;1;1;6;8;5;7;1;1;5;6;6;7;0;0;8;4;9;5;Americas;5.55;;;;;;;;;;;
M-36;Americas;KRU;Split;Ascent;Haven;1ro;0;0;No jugado;0;0;6;5;7;6;0;1;0;5;7;6;;;;;;;Americas;5.46;;;;;;;;;;;
M-36;Americas;FURIA;Ascent;Split;Haven;2do;1;1;No jugado;0;1;7;6;0;5;1;1;7;6;6;5;;;0;0;0;0;Americas;5.42;;;;;;;;;;;
M-37;Americas;LOUD;Split;Lotus;Haven;1ro;1;0;1;1;1;5;8;4;1;0;1;5;6;6;7;1;1;8;5;7;4;Americas;5.61;;;;;;;;;;;
M-37;Americas;mibr;Lotus;Split;Haven;2do;1;0;0;0;1;6;7;5;6;0;0;4;1;5;8;0;0;7;4;8;5;Americas;5.43;;;;;;;;;;;
M-38;Americas;Evil Genius;Pearl;Fracture;Split;1ro;0;0;No jugado;1;1;2;9;3;10;1;1;5;4;8;5;;;;;;;Americas;5.57;;;;;;;;;;;
M-38;Americas;Cloud9;Fracture;Pearl;Split;2do;1;1;No jugado;0;0;8;5;5;4;0;0;3;10;2;9;;;0;0;0;0;Americas;5.78;;;;;;;;;;;
M-39;Americas;Leviatan;Pearl;Lotus;Split;1ro;1;1;No jugado;0;0;7;6;6;5;1;1;5;8;4;0;;;;;;;Americas;5.47;;;;;;;;;;;
M-39;Americas;NRG;Lotus;Pearl;Split;2do;0;0;No jugado;0;0;4;0;5;8;1;1;6;5;7;6;;;0;0;0;0;Americas;5.25;;;;;;;;;;;
M-40;Americas;Cloud9;Split;Ascent;Pearl;1ro;1;0;0;1;1;8;5;3;4;1;1;5;3;9;4;0;1;4;3;5;8;Americas;5.78;;;;;;;;;;;
M-40;Americas;LOUD;Ascent;Split;Pearl;2do;1;0;1;0;0;9;4;5;3;0;0;3;4;8;5;0;1;5;8;4;3;Americas;5.61;;;;;;;;;;;
M-41;Americas;Leviatan;Pearl;Icebox;Ascent;1ro;1;0;0;1;0;10;3;9;2;0;0;3;2;10;3;0;1;1;9;3;10;Americas;5.47;;;;;;;;;;;
M-41;Americas;FURIA;Icebox;Pearl;Ascent;2do;1;0;1;1;1;10;3;3;2;1;0;9;2;10;3;0;1;3;10;1;9;Americas;5.42;;;;;;;;;;;
M-42;Americas;Sentinels;Lotus;Icebox;Pearl;1ro;0;0;No jugado;1;0;7;3;9;4;0;0;2;0;3;10;;;;;;;Americas;5.88;;;;;;;;;;;
M-42;Americas;NRG;Icebox;Lotus;Pearl;2do;1;1;No jugado;1;1;3;10;2;0;1;0;9;4;7;3;;;0;0;0;0;Americas;5.25;;;;;;;;;;;
M-43;Americas;KRU;Ascent;Lotus;Pearl;1ro;1;0;0;0;1;5;8;2;7;1;0;8;3;9;4;1;1;7;5;8;6;Americas;5.46;;;;;;;;;;;
M-43;Americas;mibr;Lotus;Ascent;Pearl;2do;1;0;1;1;0;9;4;8;3;0;1;2;7;5;8;0;0;8;6;7;5;Americas;5.43;;;;;;;;;;;
M-44;Americas;Evil Genius;Haven;Icebox;Fracture;1ro;0;0;No jugado;0;1;3;6;6;7;0;1;2;3;9;4;;;;;;;Americas;5.57;;;;;;;;;;;
M-44;Americas;100 Thieves;Icebox;Haven;Fracture;2do;1;1;No jugado;0;1;9;4;2;3;0;1;6;7;3;6;;;0;0;0;0;Americas;5.55;;;;;;;;;;;
M-45;EMEA;Navi;Ascent;Lotus;Split;1ro;0;0;No jugado;1;0;4;3;5;8;0;1;5;13;6;14;;;;;;;EMEA;5.49;;;;;;;;;;;
M-45;EMEA;KOI;Lotus;Ascent;Split;2do;1;1;No jugado;0;1;6;14;5;13;1;0;5;8;4;3;;;0;0;0;0;EMEA;5.49;;;;;;;;;;;
M-46;EMEA;Fnatic;Icebox;Split;Ascent;1ro;1;1;No jugado;1;1;3;10;2;1;1;0;7;6;6;5;;;;;;;EMEA;5.78;;;;;;;;;;;
M-46;EMEA;Giants;Split;Icebox;Ascent;2do;0;0;No jugado;1;0;6;5;7;6;0;0;2;1;3;10;;;0;0;0;0;EMEA;5.77;;;;;;;;;;;
M-47;EMEA;Heretics;Pearl;Lotus;Ascent;1ro;0;0;No jugado;0;0;2;2;3;10;0;0;8;1;9;4;;;;;;;EMEA;5.26;;;;;;;;;;;
M-47;EMEA;Fut;Lotus;Pearl;Ascent;2do;1;1;No jugado;1;1;9;4;8;1;1;1;3;10;2;2;;;0;0;0;0;EMEA;5.39;;;;;;;;;;;
M-48;EMEA;Vitality;Haven;Fracture;Lotus;1ro;1;0;1;1;0;9;4;3;3;0;0;2;0;3;10;1;1;5;8;3;7;EMEA;5.43;;;;;;;;;;;
M-48;EMEA;Liquid;Fracture;Haven;Lotus;2do;1;0;0;1;1;3;10;2;0;1;0;3;3;9;4;0;0;3;7;5;8;EMEA;5.33;;;;;;;;;;;
M-49;EMEA;Navi;Icebox;Split;Pearl;1ro;0;1;1;0;0;6;9;7;10;0;0;7;8;6;7;1;1;6;7;5;2;EMEA;5.49;;;;;;;;;;;
M-49;EMEA;Giants;Split;Icebox;Pearl;2do;0;1;0;1;1;6;7;7;8;1;1;7;10;6;9;0;0;5;2;6;7;EMEA;5.77;;;;;;;;;;;
M-50;EMEA;BBL;Icebox;Split;Lotus;1ro;0;0;No jugado;1;1;6;11;7;12;0;0;8;3;9;4;;;;;;;EMEA;5.31;;;;;;;;;;;
M-50;EMEA;Karmine Corp;Split;Icebox;Lotus;2do;1;1;No jugado;1;1;9;4;8;3;0;0;7;12;6;11;;;0;0;0;0;EMEA;5.04;;;;;;;;;;;
M-51;EMEA;Fut;Lotus;Split;Ascent;1ro;1;0;0;1;1;7;6;5;5;0;1;1;5;7;6;0;0;0;6;6;7;EMEA;5.39;;;;;;;;;;;
M-51;EMEA;Liquid;Split;Lotus;Ascent;2do;1;0;1;0;1;7;6;1;5;0;0;5;5;7;6;1;1;6;7;0;6;EMEA;5.33;;;;;;;;;;;
M-52;EMEA;Vitality;Split;Fracture;Lotus;1ro;1;1;No jugado;1;1;8;5;7;2;0;1;6;9;5;8;;;;;;;EMEA;5.43;;;;;;;;;;;
M-52;EMEA;KOI;Fracture;Split;Lotus;2do;0;0;No jugado;0;1;5;8;6;9;0;0;7;2;8;5;;;0;0;0;0;EMEA;5.49;;;;;;;;;;;
M-53;EMEA;BBL;Ascent;Haven;Split;1ro;1;0;0;0;1;9;4;3;3;0;1;4;5;5;8;1;1;5;6;6;7;EMEA;5.31;;;;;;;;;;;
M-53;EMEA;Fnatic;Haven;Ascent;Split;2do;1;0;1;0;1;5;8;4;5;0;1;3;3;9;4;0;0;6;7;5;6;EMEA;5.78;;;;;;;;;;;
M-54;EMEA;Heretics;Icebox;Split;Lotus;1ro;1;1;No jugado;1;0;9;4;2;3;1;1;3;10;2;0;;;;;;;EMEA;5.26;;;;;;;;;;;
M-54;EMEA;Karmine Corp;Split;Icebox;Lotus;2do;0;0;No jugado;0;0;2;0;3;10;1;0;2;3;9;4;;;0;0;0;0;EMEA;5.04;;;;;;;;;;;
M-55;EMEA;Fut;Lotus;Haven;Icebox;1ro;1;1;No jugado;1;1;9;4;1;3;1;0;6;7;5;5;;;;;;;EMEA;5.39;;;;;;;;;;;
M-55;EMEA;Vitality;Haven;Lotus;Icebox;2do;0;0;No jugado;1;0;5;5;6;7;0;0;1;3;9;4;;;0;0;0;0;EMEA;5.43;;;;;;;;;;;
M-56;EMEA;BBL;Ascent;Fracture;Split;1ro;0;0;No jugado;1;0;6;4;7;6;0;0;2;6;6;7;;;;;;;EMEA;5.31;;;;;;;;;;;
M-56;EMEA;Navi;Fracture;Ascent;Split;2do;1;1;No jugado;1;1;6;7;2;6;1;0;7;6;6;4;;;0;0;0;0;EMEA;5.49;;;;;;;;;;;
M-57;EMEA;Fnatic;Icebox;Ascent;Fracture;1ro;1;1;No jugado;1;1;4;9;3;0;0;1;7;6;5;1;;;;;;;EMEA;5.78;;;;;;;;;;;
M-57;EMEA;Heretics;Ascent;Icebox;Fracture;2do;0;0;No jugado;0;1;5;1;7;6;0;0;3;0;4;9;;;0;0;0;0;EMEA;5.26;;;;;;;;;;;
M-58;EMEA;Liquid;Ascent;Split;Lotus;1ro;1;1;No jugado;0;1;8;5;1;4;0;1;1;12;0;2;;;;;;;EMEA;5.33;;;;;;;;;;;
M-58;EMEA;Karmine Corp;Split;Ascent;Lotus;2do;0;0;No jugado;0;1;0;2;1;12;0;1;1;4;8;5;;;0;0;0;0;EMEA;5.04;;;;;;;;;;;
M-59;EMEA;Giants;Lotus;Ascent;Icebox;1ro;1;1;No jugado;1;1;2;11;1;0;1;0;5;8;4;7;;;;;;;EMEA;5.77;;;;;;;;;;;
M-59;EMEA;KOI;Ascent;Lotus;Icebox;2do;0;0;No jugado;1;0;4;7;5;8;0;0;1;0;2;11;;;0;0;0;0;EMEA;5.49;;;;;;;;;;;
M-60;EMEA;Navi;Pearl;Lotus;Ascent;1ro;1;0;1;1;1;9;4;0;3;1;0;7;2;10;3;0;1;2;11;1;1;EMEA;5.49;;;;;;;;;;;
M-60;EMEA;Heretics;Lotus;Pearl;Ascent;2do;1;0;0;1;0;10;3;7;2;0;0;0;3;9;4;0;1;1;1;2;11;EMEA;5.26;;;;;;;;;;;
M-61;Pacific;DRX;Ascent;Pearl;Haven;1ro;1;1;No jugado;0;1;8;5;1;4;1;0;11;2;4;1;;;;;;;Pacific;5.42;;;;;;;;;;;
M-61;Pacific;Zeta Division;Pearl;Ascent;Haven;2do;0;0;No jugado;1;0;4;1;11;2;0;1;1;4;8;5;;;0;0;0;0;Pacific;5.21;;;;;;;;;;;
M-62;Pacific;Global;Pearl;Haven;Lotus;1ro;0;1;0;0;1;3;5;4;9;1;0;10;3;2;2;0;1;4;3;5;8;Pacific;5.75;;;;;;;;;;;
M-62;Pacific;T1;Haven;Pearl;Lotus;2do;0;1;1;1;0;2;2;10;3;0;1;4;9;3;5;0;1;5;8;4;3;Pacific;5.29;;;;;;;;;;;
M-63;Pacific;Paper Rex;Pearl;Lotus;Fracture;1ro;1;1;No jugado;0;1;4;9;3;2;1;0;7;6;6;5;;;;;;;Pacific;5.86;;;;;;;;;;;
M-63;Pacific;DFM;Lotus;Pearl;Fracture;2do;0;0;No jugado;1;0;6;5;7;6;0;1;3;2;4;9;;;0;0;0;0;Pacific;5.77;;;;;;;;;;;
M-64;Pacific;Talon;Ascent;Icebox;Fracture;1ro;0;1;0;0;0;4;1;5;8;1;1;4;9;3;5;0;0;1;2;10;3;Pacific;5.27;;;;;;;;;;;
M-64;Pacific;Team Secret;Icebox;Ascent;Fracture;2do;0;1;1;0;0;3;5;4;9;1;1;5;8;4;1;1;1;10;3;1;2;Pacific;5.37;;;;;;;;;;;
M-65;Pacific;Gen.G;Fracture;Lotus;Haven;1ro;1;1;No jugado;0;1;8;5;5;4;0;0;8;5;2;4;;;;;;;Pacific;5.38;;;;;;;;;;;
M-65;Pacific;Rex Regnum;Lotus;Fracture;Haven;2do;0;0;No jugado;1;1;2;4;8;5;0;1;5;4;8;5;;;0;0;0;0;Pacific;5.44;;;;;;;;;;;
M-66;Pacific;Zeta Division;Haven;Ascent;Lotus;1ro;0;1;1;0;1;3;7;4;9;1;0;6;7;4;6;0;1;7;6;0;5;Pacific;5.21;;;;;;;;;;;
M-66;Pacific;Rex Regnum;Ascent;Haven;Lotus;2do;0;1;0;1;0;4;6;6;7;0;1;4;9;3;7;0;1;0;5;7;6;Pacific;5.44;;;;;;;;;;;
M-67;Pacific;T1;Ascent;Haven;Lotus;1ro;1;1;No jugado;1;1;8;5;4;4;1;1;9;4;3;3;;;;;;;Pacific;5.29;;;;;;;;;;;
M-67;Pacific;Talon;Haven;Ascent;Lotus;2do;0;0;No jugado;0;0;3;3;9;4;0;0;4;4;8;5;;;0;0;0;0;Pacific;5.27;;;;;;;;;;;
M-68;Pacific;Paper Rex;Haven;Fracture;Split;1ro;1;0;0;0;0;6;7;5;6;0;1;4;7;5;8;0;0;7;3;8;5;Pacific;5.86;;;;;;;;;;;
M-68;Pacific;Team Secret;Fracture;Haven;Split;2do;1;0;1;0;1;5;8;4;7;1;1;5;6;6;7;1;1;8;5;7;3;Pacific;5.37;;;;;;;;;;;
M-69;Pacific;DFM;Lotus;Fracture;Pearl;1ro;0;1;0;0;1;1;7;5;8;1;1;8;5;0;4;0;0;7;1;8;5;Pacific;5.77;;;;;;;;;;;
M-69;Pacific;Gen.G;Fracture;Lotus;Pearl;2do;0;1;1;0;0;0;4;8;5;0;1;5;8;1;7;1;1;8;5;7;1;Pacific;5.38;;;;;;;;;;;
M-70;Pacific;DRX;Haven;Split;Pearl;1ro;1;1;No jugado;0;0;6;7;5;6;0;1;8;9;7;8;;;;;;;Pacific;5.42;;;;;;;;;;;
M-70;Pacific;Global;Split;Haven;Pearl;2do;0;0;No jugado;0;1;7;8;8;9;1;1;5;6;6;7;;;0;0;0;0;Pacific;5.75;;;;;;;;;;;
M-71;Pacific;Rex Regnum;Haven;Pearl;Ascent;1ro;1;1;No jugado;0;1;3;10;2;2;1;1;4;9;3;4;;;;;;;Pacific;5.44;;;;;;;;;;;
M-71;Pacific;DFM;Pearl;Haven;Ascent;2do;0;0;No jugado;0;0;3;4;4;9;0;1;2;2;3;10;;;0;0;0;0;Pacific;5.77;;;;;;;;;;;
M-72;Pacific;T1;Pearl;Fracture;Lotus;1ro;0;0;No jugado;1;0;2;1;11;2;0;1;1;3;7;6;;;;;;;Pacific;5.29;;;;;;;;;;;
