filtro;Region;team;mapa;seleccion;gano_map;pistol_atk;pistol_def;atk_propio;defensa_propia;atk_rival;def_rival;ganadas_totales;perdidas_totales;total_jugadas;torneo;stats_equipo;ranking;elo;rib_rank;rwr;rondas_ganadas_ano;rondas_perdidas_ano;rival;stats_equipo_rival;rating_rival;elo_rival;rib_rival;rwr_rival;rondas_ganadas_rival;rondas_perdidas_rival
1;EMEA;Fnatic;Split;Rival;1;1;1;7;6;6;1;13;7;20;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Sentinels;5.88;700;1796;1463;0.466582598;370;423
1;Pacific;T1;Pearl;Propio;0;0;1;1;6;6;7;7;13;20;LOCK//IN;5.29;822;1885;1605;0.481031866;634;684;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;Pacific;T1;Icebox;Rival;0;0;0;5;0;6;7;5;13;18;LOCK//IN;5.29;822;1885;1605;0.481031866;634;684;FURIA;5.42;693;1700;1528;0.487922705;404;424
0;Pacific;Team Secret;Icebox;Propio;0;1;1;6;2;7;6;8;13;21;LOCK//IN;5.37;722;1652;1491;0.498759305;402;404;Navi;5.49;828;1636;1572;0.511610487;683;652
1;Pacific;Team Secret;Pearl;Rival;0;1;1;3;1;4;9;4;13;17;LOCK//IN;5.37;722;1652;1491;0.498759305;402;404;Navi;5.49;828;1636;1572;0.511610487;683;652
1;Americas;Leviatan;Haven;Propio;1;1;1;9;7;8;6;16;14;30;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Vitality;5.43;673;1418;1457;0.487256372;352;342
0;Americas;Leviatan;Pearl;Rival;1;1;1;3;10;2;1;13;3;16;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Vitality;5.43;673;1418;1457;0.487256372;352;342
1;EMEA;Fut;Lotus;Propio;1;1;0;8;5;7;2;13;9;22;LOCK//IN;5.39;847;1668;1587;0.5;567;567;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;EMEA;Fut;Haven;Rival;0;0;0;5;6;7;6;11;13;24;LOCK//IN;5.39;847;1668;1587;0.5;567;567;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;EMEA;Fnatic;Haven;Propio;1;0;0;11;7;10;6;18;16;34;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;EMEA;Fnatic;Ascent;Rival;1;0;0;5;8;4;5;13;9;22;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;Americas;Leviatan;Ascent;Propio;0;0;0;6;4;6;7;10;13;23;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Navi;5.49;828;1636;1572;0.511610487;683;652
1;Americas;Leviatan;Fracture;Rival;0;1;0;1;1;11;2;2;13;15;LOCK//IN;5.47;710;2000;1540;0.493414387;487;500;Navi;5.49;828;1636;1572;0.511610487;683;652
1;Americas;100 Thieves;Fracture;Propio;0;0;0;0;1;11;2;1;13;14;LOCK//IN;5.55;701;1666;1484;0.468085106;352;400;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;100 Thieves;Icebox;Rival;0;0;1;2;8;10;3;10;13;23;LOCK//IN;5.55;701;1666;1484;0.468085106;352;400;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;LOUD;Pearl;Propio;1;1;1;4;9;3;2;13;5;18;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;DRX;5.42;885;2000;1612;0.524355301;915;830
1;Americas;LOUD;Icebox;Rival;1;1;1;9;4;5;3;13;8;21;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;DRX;5.42;885;2000;1612;0.524355301;915;830
0;Americas;LOUD;Split;Rival;0;0;1;3;4;4;9;7;13;20;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;DRX;5.42;885;2000;1612;0.524355301;915;830
1;Americas;LOUD;Fracture;Rival;0;0;0;6;1;7;6;7;13;20;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;DRX;5.42;885;2000;1612;0.524355301;915;830
1;EMEA;Fnatic;Haven;Propio;1;1;0;6;7;5;6;13;11;24;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Navi;5.49;828;1636;1572;0.511610487;683;652
1;EMEA;Fnatic;Lotus;Rival;1;1;0;10;3;2;2;13;4;17;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Navi;5.49;828;1636;1572;0.511610487;683;652
1;EMEA;Fnatic;Fracture;Rival;1;0;1;6;7;5;6;13;11;24;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Navi;5.49;828;1636;1572;0.511610487;683;652
1;EMEA;Fnatic;Split;Rival;0;0;0;0;0;0;0;0;0;0;LOCK//IN;5.78;988;2000;1771;0.587324982;797;560;Navi;5.49;828;1636;1572;0.511610487;683;652
0;Americas;LOUD;Ascent;Propio;0;0;1;4;4;5;8;8;13;21;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;LOUD;Fracture;Rival;0;0;0;1;6;6;7;7;13;20;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;LOUD;Split;Rival;1;0;1;7;6;4;5;13;9;22;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;LOUD;Lotus;Rival;1;1;1;7;6;3;5;13;8;21;LOCK//IN;5.61;944;2000;1655;0.537700865;870;748;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;Americas;Sentinels;Fracture;Propio;1;0;0;6;7;5;6;13;11;24;Americas;5.88;700;1796;1463;0.466582598;370;423;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;Americas;Sentinels;Split;Rival;0;0;0;5;7;6;8;12;14;26;Americas;5.88;700;1796;1463;0.466582598;370;423;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;Americas;KRU;Split;Propio;0;0;0;6;5;7;6;11;13;24;Americas;5.46;786;1685;1436;0.485776805;444;470;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;Americas;KRU;Ascent;Rival;0;0;1;0;5;7;6;5;13;18;Americas;5.46;786;1685;1436;0.485776805;444;470;FURIA;5.42;693;1700;1528;0.487922705;404;424
0;Americas;LOUD;Split;Propio;1;1;1;5;8;4;1;13;5;18;Americas;5.61;944;2000;1655;0.537700865;870;748;mibr;5.43;668;1554;1510;0.418772563;232;322
1;Americas;LOUD;Lotus;Rival;0;0;1;5;6;6;7;11;13;24;Americas;5.61;944;2000;1655;0.537700865;870;748;mibr;5.43;668;1554;1510;0.418772563;232;322
0;Americas;Evil Genius;Pearl;Propio;0;1;1;2;9;3;10;11;13;24;Americas;5.57;989;2000;1667;0.535262206;888;771;Cloud9;5.78;752;1745;1610;0.536257833;599;518
0;Americas;Evil Genius;Fracture;Rival;0;1;1;5;4;8;5;9;13;22;Americas;5.57;989;2000;1667;0.535262206;888;771;Cloud9;5.78;752;1745;1610;0.536257833;599;518
1;Americas;Leviatan;Pearl;Propio;1;0;0;7;6;6;5;13;11;24;Americas;5.47;710;2000;1540;0.493414387;487;500;NRG;5.25;916;1816;1592;0.531468531;760;670
1;Americas;Leviatan;Lotus;Rival;1;1;1;5;8;4;0;13;4;17;Americas;5.47;710;2000;1540;0.493414387;487;500;NRG;5.25;916;1816;1592;0.531468531;760;670
1;Americas;Cloud9;Split;Propio;1;1;1;8;5;3;4;13;7;20;Americas;5.78;752;1745;1610;0.536257833;599;518;LOUD;5.61;944;2000;1655;0.537700865;870;748
1;Americas;Cloud9;Ascent;Rival;0;1;1;5;3;9;4;8;13;21;Americas;5.78;752;1745;1610;0.536257833;599;518;LOUD;5.61;944;2000;1655;0.537700865;870;748
0;Americas;Leviatan;Pearl;Propio;1;1;0;10;3;9;2;13;11;24;Americas;5.47;710;2000;1540;0.493414387;487;500;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;Americas;Leviatan;Icebox;Rival;0;0;0;3;2;10;3;5;13;18;Americas;5.47;710;2000;1540;0.493414387;487;500;FURIA;5.42;693;1700;1528;0.487922705;404;424
1;Americas;Sentinels;Lotus;Propio;0;1;0;7;3;9;4;10;13;23;Americas;5.88;700;1796;1463;0.466582598;370;423;NRG;5.25;916;1816;1592;0.531468531;760;670
0;Americas;Sentinels;Icebox;Rival;0;0;0;2;0;3;10;2;13;15;Americas;5.88;700;1796;1463;0.466582598;370;423;NRG;5.25;916;1816;1592;0.531468531;760;670
1;Americas;KRU;Ascent;Propio;1;0;1;5;8;2;7;13;9;22;Americas;5.46;786;1685;1436;0.485776805;444;470;mibr;5.43;668;1554;1510;0.418772563;232;322
1;Americas;KRU;Lotus;Rival;0;1;0;8;3;9;4;11;13;24;Americas;5.46;786;1685;1436;0.485776805;444;470;mibr;5.43;668;1554;1510;0.418772563;232;322
0;Americas;Evil Genius;Haven;Propio;0;0;1;3;6;6;7;9;13;22;Americas;5.57;989;2000;1667;0.535262206;888;771;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;Americas;Evil Genius;Icebox;Rival;0;0;1;2;3;9;4;5;13;18;Americas;5.57;989;2000;1667;0.535262206;888;771;100 Thieves;5.55;701;1666;1484;0.468085106;352;400
1;EMEA;Navi;Ascent;Propio;0;1;0;4;3;5;8;7;13;20;EMEA;5.49;828;1636;1572;0.511610487;683;652;KOI;5.49;686;1355;1437;0.465116279;340;391
0;EMEA;Navi;Lotus;Rival;0;0;1;5;13;6;14;18;20;38;EMEA;5.49;828;1636;1572;0.511610487;683;652;KOI;5.49;686;1355;1437;0.465116279;340;391
1;EMEA;Fnatic;Icebox;Propio;1;1;1;3;10;2;1;13;3;16;EMEA;5.78;988;2000;1771;0.587324982;797;560;Giants;5.77;827;1628;1586;0.513874615;500;473
1;EMEA;Fnatic;Split;Rival;1;1;0;7;6;6;5;13;11;24;EMEA;5.78;988;2000;1771;0.587324982;797;560;Giants;5.77;827;1628;1586;0.513874615;500;473
1;EMEA;Heretics;Pearl;Propio;0;0;0;2;2;3;10;4;13;17;EMEA;5.26;663;1325;1392;0.439201452;242;309;Fut;5.39;847;1668;1587;0.5;567;567
1;EMEA;Heretics;Lotus;Rival;0;0;0;8;1;9;4;9;13;22;EMEA;5.26;663;1325;1392;0.439201452;242;309;Fut;5.39;847;1668;1587;0.5;567;567
0;EMEA;Vitality;Haven;Propio;1;1;0;9;4;3;3;13;6;19;EMEA;5.43;673;1418;1457;0.487256372;352;342;Liquid;5.33;854;1650;1586;0.501798561;558;554
1;EMEA;Vitality;Fracture;Rival;0;0;0;2;0;3;10;2;13;15;EMEA;5.43;673;1418;1457;0.487256372;352;342;Liquid;5.33;854;1650;1586;0.501798561;558;554
0;EMEA;Navi;Icebox;Propio;0;0;0;6;9;7;10;15;17;32;EMEA;5.49;828;1636;1572;0.511610487;683;652;Giants;5.77;827;1628;1586;0.513874615;500;473
1;EMEA;Navi;Split;Rival;1;0;0;7;8;6;7;15;13;28;EMEA;5.49;828;1636;1572;0.511610487;683;652;Giants;5.77;827;1628;1586;0.513874615;500;473
1;EMEA;BBL;Icebox;Propio;0;1;1;6;11;7;12;17;19;36;EMEA;5.31;684;1426;1446;0.473421927;285;317;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;EMEA;BBL;Split;Rival;0;0;0;8;3;9;4;11;13;24;EMEA;5.31;684;1426;1446;0.473421927;285;317;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;EMEA;Fut;Lotus;Propio;1;1;1;7;6;5;5;13;10;23;EMEA;5.39;847;1668;1587;0.5;567;567;Liquid;5.33;854;1650;1586;0.501798561;558;554
1;EMEA;Fut;Split;Rival;0;0;1;1;5;7;6;6;13;19;EMEA;5.39;847;1668;1587;0.5;567;567;Liquid;5.33;854;1650;1586;0.501798561;558;554
1;EMEA;Vitality;Split;Propio;1;1;1;8;5;7;2;13;9;22;EMEA;5.43;673;1418;1457;0.487256372;352;342;KOI;5.49;686;1355;1437;0.465116279;340;391
1;EMEA;Vitality;Fracture;Rival;1;0;1;6;9;5;8;15;13;28;EMEA;5.43;673;1418;1457;0.487256372;352;342;KOI;5.49;686;1355;1437;0.465116279;340;391
1;EMEA;BBL;Ascent;Propio;1;0;1;9;4;3;3;13;6;19;EMEA;5.31;684;1426;1446;0.473421927;285;317;Fnatic;5.78;988;2000;1771;0.587324982;797;560
1;EMEA;BBL;Haven;Rival;0;0;1;4;5;5;8;9;13;22;EMEA;5.31;684;1426;1446;0.473421927;285;317;Fnatic;5.78;988;2000;1771;0.587324982;797;560
0;EMEA;Heretics;Icebox;Propio;1;1;0;9;4;2;3;13;5;18;EMEA;5.26;663;1325;1392;0.439201452;242;309;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;EMEA;Heretics;Split;Rival;1;1;1;3;10;2;0;13;2;15;EMEA;5.26;663;1325;1392;0.439201452;242;309;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;EMEA;Fut;Lotus;Propio;1;1;1;9;4;1;3;13;4;17;EMEA;5.39;847;1668;1587;0.5;567;567;Vitality;5.43;673;1418;1457;0.487256372;352;342
1;EMEA;Fut;Haven;Rival;1;1;0;6;7;5;5;13;10;23;EMEA;5.39;847;1668;1587;0.5;567;567;Vitality;5.43;673;1418;1457;0.487256372;352;342
1;EMEA;BBL;Ascent;Propio;0;1;0;6;4;7;6;10;13;23;EMEA;5.31;684;1426;1446;0.473421927;285;317;Navi;5.49;828;1636;1572;0.511610487;683;652
1;EMEA;BBL;Fracture;Rival;0;0;0;2;6;6;7;8;13;21;EMEA;5.31;684;1426;1446;0.473421927;285;317;Navi;5.49;828;1636;1572;0.511610487;683;652
1;EMEA;Fnatic;Icebox;Propio;1;1;1;4;9;3;0;13;3;16;EMEA;5.78;988;2000;1771;0.587324982;797;560;Heretics;5.26;663;1325;1392;0.439201452;242;309
0;EMEA;Fnatic;Ascent;Rival;1;0;1;7;6;5;1;13;6;19;EMEA;5.78;988;2000;1771;0.587324982;797;560;Heretics;5.26;663;1325;1392;0.439201452;242;309
1;EMEA;Liquid;Ascent;Propio;1;0;1;8;5;1;4;13;5;18;EMEA;5.33;854;1650;1586;0.501798561;558;554;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
0;EMEA;Liquid;Split;Rival;1;0;1;1;12;0;2;13;2;15;EMEA;5.33;854;1650;1586;0.501798561;558;554;Karmine Corp;5.04;667;1335;1425;0.422190202;293;401
1;EMEA;Giants;Lotus;Propio;1;1;1;2;11;1;0;13;1;14;EMEA;5.77;827;1628;1586;0.513874615;500;473;KOI;5.49;686;1355;1437;0.465116279;340;391
1;EMEA;Giants;Ascent;Rival;1;1;0;5;8;4;7;13;11;24;EMEA;5.77;827;1628;1586;0.513874615;500;473;KOI;5.49;686;1355;1437;0.465116279;340;391
0;EMEA;Navi;Pearl;Propio;1;1;1;9;4;0;3;13;3;16;EMEA;5.49;828;1636;1572;0.511610487;683;652;Heretics;5.26;663;1325;1392;0.439201452;242;309
1;EMEA;Navi;Lotus;Rival;0;1;0;7;2;10;3;9;13;22;EMEA;5.49;828;1636;1572;0.511610487;683;652;Heretics;5.26;663;1325;1392;0.439201452;242;309
1;Pacific;DRX;Ascent;Propio;1;0;1;8;5;1;4;13;5;18;Pacific;5.42;885;2000;1612;0.524355301;915;830;Zeta Division;5.21;812;1650;1514;0.480140187;411;445
0;Pacific;DRX;Pearl;Rival;1;1;0;11;2;4;1;13;5;18;Pacific;5.42;885;2000;1612;0.524355301;915;830;Zeta Division;5.21;812;1650;1514;0.480140187;411;445
0;Pacific;Global;Pearl;Propio;0;0;1;3;5;4;9;8;13;21;Pacific;5.75;683;1444;1447;0.497512438;300;303;T1;5.29;822;1885;1605;0.481031866;634;684
1;Pacific;Global;Haven;Rival;1;1;0;10;3;2;2;13;4;17;Pacific;5.75;683;1444;1447;0.497512438;300;303;T1;5.29;822;1885;1605;0.481031866;634;684
1;Pacific;Paper Rex;Pearl;Propio;1;0;1;4;9;3;2;13;5;18;Pacific;5.86;976;2000;1705;0.528846154;715;637;DFM;5.77;624;1718;1307;0.384773663;187;299
1;Pacific;Paper Rex;Lotus;Rival;1;1;0;7;6;6;5;13;11;24;Pacific;5.86;976;2000;1705;0.528846154;715;637;DFM;5.77;624;1718;1307;0.384773663;187;299
1;Pacific;Talon;Ascent;Propio;0;0;0;4;1;5;8;5;13;18;Pacific;5.27;699;1664;1498;0.485714286;340;360;Team Secret;5.37;722;1652;1491;0.498759305;402;404
0;Pacific;Talon;Icebox;Rival;1;1;1;4;9;3;5;13;8;21;Pacific;5.27;699;1664;1498;0.485714286;340;360;Team Secret;5.37;722;1652;1491;0.498759305;402;404
1;Pacific;Gen.G;Fracture;Propio;1;0;1;8;5;5;4;13;9;22;Pacific;5.38;700;1735;1457;0.464646465;414;477;Rex Regnum;5.44;702;1539;1455;0.486821705;314;331
0;Pacific;Gen.G;Lotus;Rival;1;0;0;8;5;2;4;13;6;19;Pacific;5.38;700;1735;1457;0.464646465;414;477;Rex Regnum;5.44;702;1539;1455;0.486821705;314;331
1;Pacific;Zeta Division;Haven;Propio;0;0;1;3;7;4;9;10;13;23;Pacific;5.21;812;1650;1514;0.480140187;411;445;Rex Regnum;5.44;702;1539;1455;0.486821705;314;331
1;Pacific;Zeta Division;Ascent;Rival;1;1;0;6;7;4;6;13;10;23;Pacific;5.21;812;1650;1514;0.480140187;411;445;Rex Regnum;5.44;702;1539;1455;0.486821705;314;331
1;Pacific;T1;Ascent;Propio;1;1;1;8;5;4;4;13;8;21;Pacific;5.29;822;1885;1605;0.481031866;634;684;Talon;5.27;699;1664;1498;0.485714286;340;360
0;Pacific;T1;Haven;Rival;1;1;1;9;4;3;3;13;6;19;Pacific;5.29;822;1885;1605;0.481031866;634;684;Talon;5.27;699;1664;1498;0.485714286;340;360
0;Pacific;Paper Rex;Haven;Propio;1;0;0;6;7;5;6;13;11;24;Pacific;5.86;976;2000;1705;0.528846154;715;637;Team Secret;5.37;722;1652;1491;0.498759305;402;404
1;Pacific;Paper Rex;Fracture;Rival;0;0;1;4;7;5;8;11;13;24;Pacific;5.86;976;2000;1705;0.528846154;715;637;Team Secret;5.37;722;1652;1491;0.498759305;402;404
0;Pacific;DFM;Lotus;Propio;0;0;1;1;7;5;8;8;13;21;Pacific;5.77;624;1718;1307;0.384773663;187;299;Gen.G;5.38;700;1735;1457;0.464646465;414;477
1;Pacific;DFM;Fracture;Rival;1;1;1;8;5;0;4;13;4;17;Pacific;5.77;624;1718;1307;0.384773663;187;299;Gen.G;5.38;700;1735;1457;0.464646465;414;477
1;Pacific;DRX;Haven;Propio;1;0;0;6;7;5;6;13;11;24;Pacific;5.42;885;2000;1612;0.524355301;915;830;Global;5.75;683;1444;1447;0.497512438;300;303
0;Pacific;DRX;Split;Rival;1;0;1;8;9;7;8;17;15;32;Pacific;5.42;885;2000;1612;0.524355301;915;830;Global;5.75;683;1444;1447;0.497512438;300;303
0;Pacific;Rex Regnum;Haven;Propio;1;0;1;3;10;2;2;13;4;17;Pacific;5.44;702;1539;1455;0.486821705;314;331;DFM;5.77;624;1718;1307;0.384773663;187;299
1;Pacific;Rex Regnum;Pearl;Rival;1;1;1;4;9;3;4;13;7;20;Pacific;5.44;702;1539;1455;0.486821705;314;331;DFM;5.77;624;1718;1307;0.384773663;187;299
